application_id,visa_type,applicant_age,gender,education_level,nationality,occupation,processing_center,visit_purpose,duration_requested_days,application_month,application_year,previous_visa,num_previous_visits,financial_proof_usd,has_sponsor,documents_complete,express_processing,processing_time_days,visa_status,education_encoded,visa_type_encoded,gender_encoded,nationality_encoded,occupation_encoded,processing_center_encoded,visit_purpose_encoded,previous_visa_encoded,visa_type_Business,visa_type_Conference,visa_type_Employment,visa_type_Entry,visa_type_Medical,visa_type_Research,visa_type_Student,visa_type_Tourist,visa_status_encoded
IND20200000001,Business,21.0,Female,Doctorate,South Korea,Student,Kolkata,Conference,30,11,2020,No,0.0,74482.0,1,0.0,1,7,Approved,4,0,0,14,7,4,7,0,True,False,False,False,False,False,False,False,2
IND20210000002,Business,52.0,Male,12th Pass,Malaysia,Professional,Kolkata,Site Visit,180,4,2021,Yes,5.0,3851.0,1,1.0,0,8,Approved,1,0,1,9,4,4,31,1,True,False,False,False,False,False,False,False,2
IND20220000003,Tourist,26.0,Male,Post Graduate,Nepal,Business Owner,Bengaluru,Wildlife Safari,90,1,2022,No,0.0,16054.0,0,1.0,1,5,Approved,3,7,1,10,1,1,38,0,False,False,False,False,False,False,False,True,2
IND20240000004,Employment,45.0,Male,Post Graduate,Germany,Professional,Kolkata,Consulting,365,4,2024,Yes,7.0,23217.0,0,1.0,0,17,Approved,3,2,1,6,4,4,9,1,False,False,True,False,False,False,False,False,2
IND20220000005,Tourist,64.0,Male,Doctorate,Italy,Student,Kolkata,Heritage Tour,180,7,2022,Yes,4.0,23433.0,0,1.0,0,2,Approved,4,7,1,7,7,4,17,1,False,False,False,False,False,False,False,True,2
IND20230000006,Medical,42.0,Male,12th Pass,Japan,Government Employee,Kolkata,Follow-up,180,11,2023,Yes,3.0,9679.0,1,1.0,0,6,Approved,1,4,1,8,2,4,15,1,False,False,False,False,True,False,False,False,2
IND20230000007,Tourist,41.0,Male,12th Pass,Canada,Academic,Mumbai,Sightseeing,30,3,2023,No,0.0,6242.0,0,1.0,0,13,Approved,1,7,1,3,0,5,30,0,False,False,False,False,False,False,False,True,2
IND20230000008,Tourist,53.0,Female,Graduate,Malaysia,Professional,Mumbai,Hill Station,90,11,2023,Yes,2.0,10617.0,0,1.0,1,5,Rejected,2,7,0,9,4,5,18,1,False,False,False,False,False,False,False,True,0
IND20210000009,Business,41.0,Male,12th Pass,Russia,Business Owner,Kolkata,Conference,90,3,2021,No,0.0,72514.0,1,0.0,0,20,Rejected,1,0,1,11,1,4,7,0,True,False,False,False,False,False,False,False,0
IND20220000010,Tourist,35.0,Male,12th Pass,South Korea,Business Owner,Mumbai,Beach Holiday,30,9,2022,Yes,3.0,22618.0,0,0.0,0,17,Rejected,1,7,1,14,1,5,2,1,False,False,False,False,False,False,False,True,0
